"","parent","index","text"
"862","1",862,"“Is it as nice as it sounds? "
"867","1",867,"How far is it to White Sands?”  "
"874","1",874,"Where were you born and how old are you?”  "
"879","1",879,"Aren’t Walter and Bertha lovely names? "
"881","1",881,"It would be a real disgrace to have a father named--well, say Jedediah, wouldn’t it?”  "
"898","1",898,"I should think a mother would be a better judge than a poor woman who came in to scrub, wouldn’t you? "
"902","1",902,"I think it would be so sweet to say ‘mother,’ don’t you? "
"910","1",910,"Do you know if there is anything in being brought up by hand that ought to make people who are brought up that way better than other people? "
"931","1",931,"“Did you ever go to school?” "
"938","1",938,"Don’t you just love poetry that gives you a crinkly feeling up and down your back? "
"942","1",942,"Thomas and Mrs. Hammond--good to you?” "
"949","1",949,"It’s  a very trying to have a drunken husband, you see; and it must be very trying to have twins three times in succession, don’t you think? "
"957","1",957,"What if she, Marilla, should indulge Matthew’s unaccountable whim and let her stay? "
"967","1",967,"“Isn’t the sea wonderful?” "
"973","1",973,"Aren’t those gulls splendid? "
"974","1",974,"Would you like to be a gull? "
"976","1",976,"Don’t you think it would be nice to wake up at sunrise and swoop down over the water and away out over that lovely blue all day; and then at night to fly back to one’s nest? "
"978","1",978,"What big house is that just ahead, please?”  "
"990","1",990,"You’ll put your horse in? "
"991","1",991,"And how are you, Anne?”  "
"1000","1",1000,"“Why, Robert sent word down by his daughter Nancy and she said you wanted a girl--didn’t she Flora Jane?” "
"1011","1",1011,"Can we send the child back to the asylum? "
"1012","1",1012,"I suppose they’ll take her back, won’t they?”  "
"1040","1",1040,"Was she to be given into the keeping of this sharp-faced, sharp-eyed woman? "
"1049","1",1049,"“How old are you and what’s your name?” "
"1074","1",1074,"Will that suit you, Mrs. Blewett?”  "
"1079","1",1079,"“Oh, Miss Cuthbert, did you really say that perhaps you would let me stay at Green Gables?” "
"1081","1",1081,"“Did you really say it? "
"1082","1",1082,"Or did I only imagine that you did?”  "
"1121","1",1121,"Did you ever suppose you’d see the day when you’d be adopting an orphan girl? "
"1138","1",1138,"“Why, Anne, what do you mean? "
"1139","1",1139,"Were you never taught to say your prayers? "
"1141","1",1141,"Don’t you know who God is, Anne?”  "
"1146","1",1146,"Where did you learn that?”  "
