"","parent","index","text"
"4552","1",4552,"“Why--why--Anne, don’t you like it? "
"4597","1",4597,"Did you ever hear anything equal to that?”  "
"4601","1",4601,"“Oh, hasn’t it been a brilliant evening?” "
"4606","1",4606,"“Oh, Diana, will we really see our names in print? "
"4621","1",4621,"Did I groan all right?”  "
"4625","1",4625,"It’s so romantic to take part in a concert, isn’t it? "
"4627","1",4627,"“Wasn’t the boys’ dialogue fine?” "
"4659","1",4659,"Could she go back to the former quiet pleasures of those faraway days before the concert? "
"4693","1",4693,"Mrs. Allan says we should never make uncharitable speeches; but they do slip out so often before you think, don’t they? "
"4720","1",4720,"“It’s easy for you because you have an imagination,” retorted Diana, “but what would you do if you had been born without one? "
"4721","1",4721,"I suppose you have your composition all done?”  "
"4740","1",4740,"“Well, what became of Cordelia and Geraldine?” "
"4748","1",4748,"She said Malcolm told Susan that his dad had given him the farm in his own name and then said, ‘What do you say, darling pet, if we get hitched this fall?’ "
"4818","1",4818,"Do you think there is any prospect of it, Marilla?”  "
"4824","1",4824,"Is it very wicked of me, Marilla, to feel encouraged when I hear that other people have been bad and mischievous? "
"4869","1",4869,"“Mercy on us,” said astonished Marilla, “have you been asleep, Anne?”  "
"4871","1",4871,"“Are you sick then?” "
"4880","1",4880,"“Did anyone ever hear the like?” "
"4882","1",4882,"“Anne Shirley, whatever is the matter with you? "
"4883","1",4883,"What have you done? "
"4886","1",4886,"There now, what is it?”  "
"4891","1",4891,"“Anne Shirley, what have you done to your hair? "
"4903","1",4903,"Now, then, what did you do to your hair?”  "
"4907","1",4907,"Anne Shirley, didn’t you know it was a wicked thing to do?”  "
"4917","1",4917,"How could I doubt his word, Marilla? "
"4922","1",4922,"“Who said? "
"4923","1",4923,"Who are you talking about?”  "
"4947","1",4947,"“Oh, Marilla, what shall I do?” "
"4971","1",4971,"But there is nothing comforting in having your hair cut off because you’ve dyed it a dreadful color, is there? "
"4991","1",4991,"It makes you feel very virtuous when you forgive people, doesn’t it? "
"4999","1",4999,"But am I talking too much, Marilla? "
"5000","1",5000,"Does it hurt your head?”  "
"5025","1",5025,"“Oh, do you really think so?” "
"5028","1",5028,"Do you think it could be called auburn now, Diana?”  "
"5052","1",5052,"Do you suppose it’s really right to act like this? "
"5076","1",5076,"Where were the oars? "
"5097","1",5097,"Why didn’t somebody come? "
"5098","1",5098,"Where had the girls gone? "
"5107","1",5107,"How on earth did you get there?” "
"5112","1",5112,"“What has happened, Anne?” "
"5117","1",5117,"Will you be kind enough to row me to the landing?”  "
"5122","1",5122,"Can’t we be good friends? "
"5153","1",5153,"And Ruby is in hysterics--oh, Anne, how did you escape?”  "
"5168","1",5168,"“Will you ever have any sense, Anne?” "
"5197","1",5197,"“Isn’t this evening just like a purple dream, Diana? "
"5208","1",5208,"“Jane’s mother is going to let her have a birthday party?”  "
"5211","1",5211,"Did he?”  "
"5217","1",5217,"“Oh, Diana,” whispered Anne, finding it necessary to lean up against a maple tree for support, “do you really mean it? "
"5248","1",5248,"Do you suppose it’s wrong for us to think so much about our clothes? "
"5250","1",5250,"But it is such an interesting subject, isn’t it?”  "
"5276","1",5276,"“Isn’t it just like a palace?” "
"5294","1",5294,"And I was glad that I felt glad, for it shows I’m improving, don’t you think, Marilla, when I can rejoice in Josie’s success? "
"5297","1",5297,"Do you? "
"5300","1",5300,"So Avonlea was pretty well represented, wasn’t it? "
"5354","1",5354,"“And you, Anne-girl?”  "
"5375","1",5375,"“So you’ve got back?” "
"5406","1",5406,"“Was she? "
"5408","1",5408,"Why didn’t you call me, Marilla? "
"5420","1",5420,"Young men are all very well in their place, but it doesn’t do to drag them into everything, does it? "
"5434","1",5434,"But why was Miss Stacy here this afternoon?”  "
"5437","1",5437,"“About me?” "
"5461","1",5461,"“Oh, how can you call Ben Hur a novel when it’s really such a religious book?” "
"5483","1",5483,"What do you think about it yourself, Anne? "
"5484","1",5484,"Would you like to go to Queen’s and pass for a teacher?”  "
"5490","1",5490,"But won’t it be dreadfully expensive? "
"5512","1",5512,"I would call it a worthy purpose to want to be a teacher like Miss Stacy, wouldn’t you, Marilla? "
"5539","1",5539,"“What is Gilbert Blythe going to be?” "
"5568","1",5568,"“Are you going to be back next year, Miss Stacy?” "
"5606","1",5606,"You’ll stay to tea?”  "
"5639","1",5639,"Doesn’t Mr. Allan preach magnificent sermons? "
"5641","1",5641,"But I don’t see the use of meeting trouble halfway, do you, Marilla? "
"5645","1",5645,"Why can’t women be ministers, Marilla? "
"5660","1",5660,"Now, what do you think is the reason I feel like that? "
"5661","1",5661,"Do you think it’s because I’m really bad and unregenerate?”  "
"5678","1",5678,"It’s a serious thing to grow up, isn’t it, Marilla? "
"5724","1",5724,"What has come over you?”  "
"5738","1",5738,"“What has become of your story club? "
"5748","1",5748,"“Do you think you’ll be able to get through?”  "
"5773","1",5773,"“It does seem as if it was the end of everything, doesn’t it?” "
"5780","1",5780,"Oh, we have had jolly times, haven’t we, Anne? "
"5796","1",5796,"“Wouldn’t we have a perfectly elegant time? "
"5803","1",5803,"“You’ll write to me while you’re in, won’t you?”  "
"5844","1",5844,"It seems like an age since you went to town and oh, Anne, how did you get along?”  "
"5849","1",5849,"“How did the others do?”  "
"5897","1",5897,"Won’t Miss Stacy be delighted? "
"5898","1",5898,"Oh, Anne, what does it feel like to see your name at the head of a pass list like that? "
"5904","1",5904,"I let myself think _once_, ‘What if I should come out first?’ "
"5939","1",5939,"“Do you really think the organdy will be best?” "
"5955","1",5955,"“Shall I put my pearl beads on?” "
"5969","1",5969,"Am I all ready now?”  "
"5972","1",5972,"Doesn’t she look lovely?”  "
"5994","1",5994,"What are you going to recite, Anne? "
"5995","1",5995,"And are you nervous?”  "
"6001","1",6001,"“What will you recite if they encore you?”  "
"6016","1",6016,"What were her pearl beads compared to the diamonds of the big, handsome lady near her? "
"6031","1",6031,"Had she ever thought she could recite? "
"6072","1",6072,"“Hasn’t it been a perfectly splendid time?” "
"6086","1",6086,"Well, we heard him say--didn’t we, Jane?--‘Who is that girl on the platform with the splendid Titian hair? "
"6089","1",6089,"But what does Titian hair mean?”  "
"6092","1",6092,"“_Did_ you see all the diamonds those ladies wore?” "
"6095","1",6095,"Wouldn’t you just love to be rich, girls?”  "
"6101","1",6101,"Would you want to be that white-lace girl and wear a sour look all your life, as if you’d been born turning up your nose at the world? "
"6102","1",6102,"Or the pink lady, kind and nice as she is, so stout and short that you’d really no figure at all? "
"6103","1",6103,"Or even Mrs. Evans, with that sad, sad look in her eyes? "
"6209","1",6209,"Have you anything eatable around, Anne? "
"6226","1",6226,"Cake? "
"6227","1",6227,"You’ll give me a teeny piece, won’t you? "
"6245","1",6245,"“Wouldn’t Matthew be proud if I got to be a B.A.? "
"6320","1",6320,"“What are you going to wear for commencement, Jane?” "
"6350","1",6350,"Isn’t it splendid?”  "
"6359","1",6359,"“Reckon you’re glad we kept her, Marilla?” "
"6364","1",6364,"“Aren’t you proud of that Anne-girl? "
"6373","1",6373,"Isn’t the breath of the mint delicious? "
"6386","1",6386,"I suppose you won’t be teaching now that you’ve won the Avery?”  "
"6389","1",6389,"Doesn’t it seem wonderful? "
"6392","1",6392,"Isn’t it splendid to think we all got through even to Moody Spurgeon and Josie Pye?”  "
"6400","1",6400,"What would she do without their inspiring rivalry? "
"6401","1",6401,"Would not work, even at a coeducational college with a real degree in prospect, be rather flat without her friend the enemy?  "
"6404","1",6404,"“Marilla,” she said hesitatingly when he had gone out, “is Matthew quite well?”  "
"6426","1",6426,"Speaking of Rachel reminds me--did you hear anything about the Abbey Bank lately, Anne?”  "
"6428","1",6428,"“Why?”  "
"6445","1",6445,"“Why won’t you take things easier?”  "
"6453","1",6453,"Well now, I guess it wasn’t a boy that took the Avery scholarship, was it? "
"6461","1",6461,"The Reaper Whose Name Is Death   |MATTHEW--Matthew--what is the matter? "
"6462","1",6462,"Matthew, are you sick?”  "
"6493","1",6493,"Diana, going to the east gable, where Anne was standing at her window, said gently:  “Anne dear, would you like to have me sleep with you tonight?”  "
"6522","1",6522,"Oh, Marilla, what will we do without him?”  "
"6560","1",6560,"You won’t mind staying here alone while I’m away, will you? "
"6569","1",6569,"Do you mind the time you dyed your hair?”  "
"6580","1",6580,"Is Josie going to teach?”  "
"6584","1",6584,"“Gilbert Blythe is going to teach too, isn’t he?”  "
"6592","1",6592,"“Oh, Marilla--and what happened?--why didn’t you--”  “We had a quarrel. "
"6600","1",6600,"You wouldn’t think so to look at me, would you? "
"6610","1",6610,"“Are you very tired, Marilla?”  "
"6614","1",6614,"“Did you see the oculist? "
"6615","1",6615,"What did he say?” "
"6629","1",6629,"“What am I to live for if I can’t read or sew or do anything like that? "
"6645","1",6645,"“What did Mr. Sadler want, Marilla?”  "
"6649","1",6649,"Buy Green Gables?” "
"6677","1",6677,"“Why, what do you mean?”  "
"6784","1",6784,"What does all that winking and blinking at the Barry gable mean?”  "
"6813","1",6813,"Are we going to be friends after this? "
"6814","1",6814,"Have you really forgiven me my old fault?”  "
"6823","1",6823,"You are going to keep up your studies, aren’t you? "
"6826","1",6826,"“Who was that came up the lane with you, Anne?”  "
"6832","1",6832,"Were we really there half an hour? "
